id,deskripsi
193,"DEEP SOCK TEKIRO DR 1/2"" 12PT 10MM  SC-DW0511"
194,"DEEP SOCK TEKIRO DR 1/2"" 6PT 19MM SC-DW0497"
195,"DEEP SOCK TEKIRO DR 1/2"" 6PT 21MM SC-DW0499"
196,"DEEP SOCK TEKIRO DR 1/2"" 6PT 24MM SC-DW0502"
197,DEMOLITION HAMMER DCA AZG10
198,DEMOLITION HAMMER DONG CHENG DZG6
199,DEMOLITION HAMMER MAKITA HM 1306
200,DEMOLITION HAMMER MAKITA M 8600B
201,DEMOLITION HAMMER RYU RDH 15
202,"DIAMOND WHEEL BOSCH 7"" CONCRETE 2608602199"
203,"DIAMOND WHEEL BULL 4"" SUPERSHARP BLACK (TURBO)"
204,"DIAMOND WHEEL KOSOKU 4"" DRY"
205,"DIAMOND WHEEL MAKITA 110MM(RIM,WET) A-81131"
206,"DIAMOND WHEEL MAKITA 4"" CONTINUOUS (D-40705)"
207,"DIAMOND WHEEL MAKITA 4"" DRY D-63688"
208,"DIAMOND WHEEL MAKITA 4"" GRANITE & MARBLE (D-67511)"
209,"DIAMOND WHEEL MAKITA 4"" GRANITE (D-44351)"
210,"DIAMOND WHEEL TOKYO 16"""
211,DIE GRINDER MAKITA GD 0601
212,DIE GRINDER MAKITA M 9100B
213,DIE GRINDER MODERN M2310
214,DINAMO SPRAYER 3.1LPM OLD-P33
215,DONGKRAK BOTOL TEKIRO 10 TON AU-BJ1912
216,DONGKRAK BOTOL TEKIRO 20 TON AU-BJ1914
217,DONGKRAK BOTOL TEKIRO 4 TON AU-BJ1910
218,DONGKRAK BOTOL TEKIRO 6 TON AU-BJ1911
219,DONGKRAK BUAYA TEKIRO 2 TON (PUTAR) AU-FJ0995
220,DONGKRAK BUAYA TEKIRO 3 TON (DOUBLE PUMP) AU-FJ1677
221,DONGKRAK JEMBATAN TEKIRO 2 TON AU-SJ1059
222,DRIIL BOSCH GSB 16RE
223,DRILL DCA 16 MM AJZ16A BOR PALANG
224,DRILL DCA 6 MM VARIABEL SPEED (AJZ02-6A)
225,DRILL DONG CHENG DJZ10A
226,DRILL H&L PRO 10RE IRON CHUCK
227,DRILL MAKITA M 0600B
228,DRILL MAKITA M 6501B VARIABLE
229,DRILL MODERN JIZ13A
230,DRILL MODERN M2100B
231,DRILL MODERN M2100C
232,DRILL MODERN M2130B
233,DRILL MODERN M2140 (13MM)
234,DRILL RYU RDR 10-3RE
235,DRILL RYU RDR 10-3RE PRO1 W/ACCESSORIES
236,DRILL STAND/DUDUKAN BOR MOLLAR GDS206
237,ELECTRIC NIBBLER 3.2MM AJH32 DCA
238,ELEKTRIK SPRAYER KANEDA 12L 8A
239,"EXT SOCK TEKIRO 1/2""X10"" SC-EB0585"
240,"EXT SOCK TEKIRO 1/2""X3"" SC-EB0583"
241,"EXT SOCK TEKIRO 1/2""X5"" SC-EB0584"
242,FEELER GAUGE TEKIRO 13 BLADES AU-FG1292
243,FILTER ATAS SPRAYER KANEDA**
244,FILTER SPRAYER DALAM 12MM OLD-F
245,"FLAP DISC BULL 4"" #80"
246,"GAGANG KUNCI SOCK L TEKIRO 1""X26"" SC-OH0577"
247,"GAGANG KUNCI SOCK L TEKIRO 1/2""X10"" SC-OH0574"
248,"GAGANG SOCK T JETJO1/2""X10"" 200669"
249,GAGANG TAP RACHET TEKIRO M3-M10 GT-RH1865
250,GEMBOK BESI BESTGUARD PDK 30MM A2421
251,GEMBOK BESI JETJO PDK 40MM 101532
252,GEMBOK BESI PJG JETJO 40MM 101536
253,GEMBOK BESI TEKIRO PDK 70MM GT-PL1435
254,GEMBOK BESI TEKIRO PNJG 40MM GT-PL1436
255,GEMBOK BESI TEKIRO PNJG 50MM GT-PL1437
256,GEMBOK BSI JETJO PDK 60MM 101534
257,GEMBOK BSI JETJO PNJG 60MM 101538
258,GEMBOK KUNINGAN ATS 20MM WARNA-WARNI
259,GEMBOK KUNINGAN(BC) ATS 25MM #8825
260,GEMBOK UKIR ANTIK PDK FREDOM N/K 60MM
261,GENERATOR GENERAL ET1300I 2 TAK (650 WATT)
262,GENERATOR WEIMA WMG 7500E BF
263,"GERGAJI BESI TEKIRO 12"" GT-HS1623"
264,"GERGAJI TANGAN TEKIRO TPR 18"" 3T GT-HS1554"
265,"GERGAJI TANGAN TEKIRO TPR 20"" 3T GT-HS1555"
266,GERINDA BOSCH GWS 700 06013A31K0
267,GERINDA BOSCH GWS 750-100 06013940K0
268,GERINDA DCA 180MM (ASM180A)
269,GERINDA DONG CHENG DSM03-100
270,"GERINDA DUDUK ORANGE 6"""
271,"GERINDA DUDUK TIGER 6"""
272,"GERINDA MAKITA 9553 B 4"""
273,GERINDA MAKITA GA 4030
274,GERINDA MAKITA M 0900B
275,GERINDA MAKITA M 0910B
276,GERINDA MAKITA M 9513B
277,GERINDA MAKITA N 9500N
278,"GERINDA MODERN M2300B  4"" HIJAU"
279,GERINDA MODERN M2340 V
280,GERINDA MODERN M2350B
281,GERINDA MODERN M2360
282,GERINDA MODERN SIM100B
283,"GERINDA RYU 4"" RSG 100-3"
284,"GERINDA RYU 4"" RSG 100-3 W/ACCESSORIES"
285,"GERINDA RYU 4"" RSG 100-4"
286,"GERINDA RYU 4"" RSG 100-4 W/ACCESSORIES"
287,GREAS GUN TEKIPO 500CC AX-AU-GG1015
288,GREASE GUN TEKIRO 500CC AU-GG1015
289,GUN POLISHER RYU RGP 125E
290,"GUNTING DAHAN BESTGUARD MULTIFUNGSI 7"""
291,"GUNTING SENG TEKIRO 10"" (LURUS) PL-AS1449"
292,"GUNTING SENG TEKIRO 12"" (LURUS) PL-AS1778"
293,HAND TAP L TEKIRO M3X0.5 (3PCS) GT-HT1852
294,HAND TAP SET TEKIRO M5X0.8 (3PCS) GT-HT1854
295,HOLE SAW BOSCH HSS 60MM (2608580425)
296,HOT AIR GUN DCA 1600W (AQB02-1600)
297,HOT GUN MODERN M2050
298,HOT GUN PRO H&L 1600W
299,IMPACT DRILL DCA 13MM VARIABLE AZJ02-13
300,IMPACT DRILL DONG CHENG DZJ02-13
301,IMPACT DRILL MAKITA HP 1630
302,IMPACT DRILL MAKITA M 0801B
303,IMPACT DRILL MODERN M2150 13M
304,IMPACT DRILL RYU 13MM RID 13-1REB (SET)
305,IMPACT DRILL RYU RID 13-1RE+ACC
306,IMPACT WRENCH DONG CHENG DPB12
307,INVERTER RHINO 120A 450W
308,INVERTER RHINO 120A 900W
309,INVERTER RYU RII 120-1 900W
310,INVERTER RYU RII 120-2
311,JASA SERVICE MESIN/RAKIT MESIN
312,JASA SERVICE TEKNIK
313,JET CLEANER H&L ABW VGS70
314,JET CLEANER H&L QL-1200
315,JET CLEANER H&L QL-2350
316,JET CLEANER H&L QL-2500 (UJCH0033)
317,JET CLEANER RYU RPW 70
318,JET CLEANER RYU RPW 70-1
319,JIG SAW MAKITA 4327 M
320,JIG SAW MODERN M2200 (V)
321,JIG SAW MODERN M2200B
322,JIG SAW MODERN M2200L
323,KABEL LAS MULTIPRO 50MM
324,KACA MATA LAS OTOMATIS REDBO RB-300KS
325,KANEBO TEKIRO
326,KARET TAMBAL BAN TUBELES CROCODILE
327,KARET TAMBAL BAN TUBELESS TEKIRO AU-TS1722
328,"KAWAT LAS RD-460 2,0MM"
329,KEPALA BOR VOYLET 10MM DRAT
330,KEPALA BOR VOYLET 10MM SOCK
331,KIKIR CHAINSAW JETJO 5MM 101849
332,"KIKIR PLAT LAKONI PRO HALUS 10"" 101631"
333,"KIKIR SLIM TEKIRO 3"" GT-ST1635"
334,"KIKIR SLIM TEKIRO 4"" GT-ST1553"
335,"KLEM SELANG JETJO 2-1/2"" 101788"
336,"KLEM SELANG JETJO 3/4"" 101782"
337,"KLEM SELANG JETJO 5/8"" 101781"
338,"KLEM SELANG TEKIRO 7/8"" GT-CH1683"
339,KOP KACA H&L 3 KAKI (TRIPLE)
340,"KRAN KOMPRESOR VOYLET 1/4"" BIRU"
341,KRAN SPRAYER KANEDA OLD-137
342,KUNCI BUSI FLEXI PROTECH 16MM
343,KUNCI BUSI FLEXI PROTECH 21MM
344,"KUNCI BUSI TEKIRO 1/2""X21MM MAGNET SC-SA0548"
345,"KUNCI BUSI TEKIRO 3/8""X14MM KARET SC-SP1673"
346,"KUNCI BUSI TEKIRO 3/8""X18MM MAGNET SC-SA1608"
347,"KUNCI INGGRIS ATS 6"""
348,"KUNCI INGGRIS JETJO 6"" 300380"
349,"KUNCI INGGRIS JETJO 8"" 300381"
350,"KUNCI INGGRIS TEKIRO 08"" WR-AD1960"
351,"KUNCI INGGRIS TEKIRO 10"" WR-AD1961"
352,"KUNCI INGGRIS TEKIRO 12"" WR-AD1962"
